naslov,avtor,cas_priprave,cas_kuhanja,stevilo_ocenjevalcev,ocena,dieta,zvrst
Aromatic beef curry,Anjie Mosher,0-30,00-120,63,4.3,0,Main course
Aromatic couscous,Nick Nairn,0-30,0-10,0,0.0,Vegetarian,Recipe
Aromatic pork belly hotpot,Hugh Fearnley-Whittingstall,0-30,00-120,0,0.0,0,Main course
Aromatic salmon cooked in coconut milk,Josceline Dimbleby,0-30,30-60,2,3.0,0,Main course
Arrabiata pork meatball spaghetti,James Martin,0-30,10-30,4,4.5,0,Main course
Arroz verde,Rick Stein,0-30,30-60,2,5.0,0,Main course
Artichoke and broad bean risotto,James Martin,0-30,30-60,0,0.0,Vegetarian,Main course
Artichoke and lemon dip,Trish Deseine,0-30,0,0,0.0,Vegetarian,Other
Artichoke and three cheese pizza,James Martin,1-20,30-60,0,0.0,0,Recipe
Artichoke hearts filled with salt cod,Michel Roux Jr.,overnight,00-120,0,0.0,0,Main course
Artichoke pasta,Rick Stein,0-30,10-30,7,4.57,Vegetarian,Main course
Artichoke salad with beef carpaccio,James Martin,0-30,60-120,0,0.0,0,Starters and nibbles
Artichoke with smoked bacon mayonnaise,James Martin,30-60,10-30,0,0.0,0,Starters and nibbles
Artichoke à la Parisienne with bordelaise sauce,Claude Bosi,0-30,10-30,0,0.0,0,Main course
"Artichoke, broad bean and pea risotto",Rick Stein,0-30,30-60,0,0.0,Vegetarian,Main course
Artichokes Romana style,Francesco Mazzei,0-30,30-60,0,0.0,0,Light meals and snacks
Artichokes alla Romana,Valentine Warner,0-30,10-30,0,0.0,Vegetarian,Recipe
Asparagus and anchovy twists,Rachel Khoo,0-30,10-30,0,0.0,0,Starters and nibbles
Asparagus and garden pea risotto,Elizabeth Guy,0-30,10-30,3,4.67,0,Main course
Asparagus and goats’ curd tart,Rosie Birkett,30-60,10-30,3,3.67,Vegetarian,Main course
Asparagus and poached egg puff tarts with parmesan and basil ,Lorraine Pascale,0-30,10-30,3,5.0,Vegetarian,Main course
"Asparagus and scallop salad, with cockle tartare sauce and mint oil",Glynn Purnell,0-30,10-30,0,0.0,0,Light meals and snacks
Asparagus quiche with smoked salmon,Tony Tobin,0-30,10-30,0,0.0,0,Main course
Asparagus risotto,Phil Vickery,0-30,10-30,16,4.5,Vegetarian,Main course
Asparagus soup,Paul Rankin,0-30,10-30,21,4.95,Vegetarian,Light meals and snacks
"Asparagus soup with asparagus tips, Jersey Royal potatoes and watercress",James Martin,0-30,10-30,4,5.0,Vegetarian,Light meals and snacks
"Asparagus with cured ham, poached duck egg and hollandaise sauce",James Martin,30-60,0-10,2,5.0,0,Starters and nibbles
Asparagus with fettuccine and smoked bacon,John Torode,0-30,10-30,5,4.8,0,Main course
Asparagus with herb mayonnaise and crispy quail's eggs,Monica Galetti,0-30,30-60,2,3.0,Vegetarian,Starters and nibbles
Asparagus with pearl barley and bacon,Monica Galetti,0-30,30-60,2,5.0,0,Main course
Asparagus with poached egg and bacon,Simon Rimmer,0-30,10-30,0,0.0,0,Starters and nibbles
Asparagus with poached egg and hollandaise sauce,James Martin,0-30,10-30,0,0.0,Vegetarian,Recipe
Asparagus with preserved lemon and pickled chilli,Sabrina Ghayour,0-30,0-10,0,0.0,Vegetarian,Side dishes
"Asparagus, mustard and herb salad with a radish dressing",Brian Turner,0-30,0-10,0,0.0,Vegetarian,Starters and nibbles
"Asparagus, pea, feta and mint salad",Freddy Bird ,0-30,0-10,1,5.0,0,Side dishes
Aubergine and bean casserole,Simon Rimmer,0-30,30-60,9,4.67,Vegetarian,Main course
Aubergine and feta tart,Nadiya Hussain,0-30,10-30,13,4.69,Vegetarian,Main course
Aubergine and mozzarella bake ,Antonio Carluccio,0-30,30-60,28,4.64,Vegetarian,Main course
Aubergine and mozzarella stacks,James Martin,0-30,30-60,0,0.0,Vegetarian,Main course
Aubergine and mushroom cannelloni,Michel Roux Jr.,0-30,10-30,2,5.0,Vegetarian,Main course
Aubergine and red pepper Greek salad ,Akis Petretzikis,0-30,10-30,1,5.0,Vegetarian,Light meals and snacks
Aubergine and tofu satay,The Vegetarian Society,0-30,10-30,0,0.0,Vegetarian,Main course
Aubergine and tomato canapés,Chetna Makan,0-30,30-60,1,5.0,Vegetarian,Starters and nibbles
Aubergine and walnut caviar,The Hairy Bikers,0-30,30-60,1,5.0,Vegetarian,Starters and nibbles
Aubergine chips with fennel yoghurt,Russell Norman,0-30,0-10,1,5.0,Vegetarian,Starters and nibbles
Aubergine gratin with tomato sauce and salad,James Martin,30-60,30-60,1,5.0,Vegetarian,Main course
Aubergine hummus,Nigel Slater,0-30,10-30,2,3.0,Vegetarian,Side dishes
Aubergine parmigiana,Donal Skehan,0-30,30-60,24,4.54,Vegetarian,Main course
Aubergine parmigiana with chicken ,Anna Haugh,0-30,10-30,1,5.0,0,Main course
Aubergine roll-ups in Parmesan sauce,Dipa Jakhu,0-30,30-60,1,4.0,0,Main course
Aubergine satay skewers,Simon Rimmer,0-30,10-30,3,4.33,Vegetarian,Starters and nibbles
"Aubergine stuffed with sausage, pine nuts and currants",Matt Tebbutt,0-30,30-60,0,0.0,0,Main course
Aubergines in tamarind sauce with baked halloumi and saffron rice,Sabrina Ghayour,0-30,60-120,10,4.7,Vegetarian,Main course
Aussie olive damper bread,Lorraine Pascale,0-30,30-60,4,4.0,Vegetarian,Cakes and baking
Authenic southern-fried chicken,Brad McDonald,overnight,10-30,3,4.67,0,Main course
Authentic Swedish meatballs,Niklas Ekstedt,0-30,30-60,2,5.0,0,Main course
Authentic chicken curry,The Karim Family,0-30,30-60,3,2.67,0,Main course
Authentic lamb tagine ,Zoubida Boutarfas,0-30,00-120,2,4.5,0,Main course
Authentic ragù alla bolognese,Anna Del Conte,0-30,00-120,12,5.0,0,Main course
Autumn pudding,The Hairy Bikers,overnight,60-120,3,5.0,Vegetarian,Desserts
Avgolemono soup,Rick Stein,0-30,00-120,1,5.0,0,Light meals and snacks
Avocado and bacon salad,James Martin,0-30,10-30,0,0.0,0,Light meals and snacks
Avocado hummus,Gizzi Erskine,30-60,0,4,4.5,Vegetarian,Starters and nibbles
Avocado pasta with peas and mint ,Nadiya Hussain,0-30,0-10,14,4.21,Vegetarian,Main course
Avocado salad,Rachel Phipps,0-30,0,5,4.8,Vegetarian,Main course
Avocado toast with radish ceviche,Nadiya Hussain,0-30,0-10,5,4.8,Vegetarian,Light meals and snacks
"Avocado, tomato, feta and brown rice grain bowl",Rebecca Sargent,0-30,0,2,5.0,Vegetarian,Light meals and snacks
Ayam golek (spiced chicken with coconut cream and rojak salad),Tom Kime,0-30,30-60,0,0.0,0,Main course
Aztec molcajete,Fernando Stovell,30-60,30-60,0,0.0,0,Main course
Aïoli,James Martin,0-30,0,3,4.67,Vegetarian,Other
"B.B.L.T (belly, brioche, lettuce and tomato)",Jason Atherton,0-30,00-120,0,0.0,0,Light meals and snacks
BBQ chicken with coleslaw,Tim Maddams,0-30,10-30,4,3.0,0,Main course
BBQ fillet steak with grilled mushrooms and peppercorn sauce ,Matt Tebbutt,0-30,30-60,0,0.0,0,Main course
BBQ sauce,James Martin,0-30,0-10,18,4.5,Vegetarian,Other
BBQ ‘beer-can’ chicken,Lisa Allen,overnight,60-120,5,3.8,0,Main course
Baba ganoush,Paul Hollywood,0-30,10-30,18,3.33,Vegetarian,Side dishes
"Baba ganoush, grilled aubergine with lentils and aubergine fritters",Matt Tebbutt,0-30,10-30,1,5.0,Vegetarian,Side dishes
Baba ghanoush,The Ayoubi Family,0-30,30-60,1,3.0,Vegetarian,Side dishes
Baby artichoke tartlets,Celia Brooks,0-30,10-30,0,0.0,Vegetarian,Starters and nibbles
Baby aubergines with oregano and red onions,Nigella Lawson,0-30,30-60,4,4.0,Vegetarian,Starters and nibbles
Baby courgettes and chanterelle mushrooms with basil,Valentine Warner,0-30,0-10,2,5.0,Vegetarian,Recipe
Baby squid stuffed with chorizo and feta,Richard Corrigan,0-30,30-60,0,0.0,0,Recipe
Baby squid stuffed with morcilla with tomatoes and clams,Matt Tebbutt,0-30,30-60,0,0.0,0,Light meals and snacks
Baby squid stuffed with salmon and prawns,Matt Tebbutt,0-30,10-30,0,0.0,0,Main course
Back-to-front baked cheesecake ,Nadiya Hussain,overnight,60-120,12,4.58,Vegetarian,Cakes and baking
Bacon and cheese straws,Lorraine Pascale,0-30,10-30,12,5.0,0,Starters and nibbles
Bacon and chilli cornbread,Antony Worrall Thompson,0-30,30-60,0,0.0,0,Cakes and baking
Bacon and dill stir-fried cabbage with pan-fried sea bass,James Martin,0-30,30-60,0,0.0,0,Main course
Bacon and egg canapés ,The Hairy Bikers,1-20,10-30,1,5.0,0,Starters and nibbles
Bacon and egg pie,Paul Hollywood,0-30,60-120,5,5.0,0,Main course
Bacon and kale pasta,Annie Rigg,0-30,10-30,9,4.44,0,Main course
Bacon and lentils,James Martin,0-30,00-120,0,0.0,0,Main course
Bacon and sprout salad,The Hairy Bikers,0-30,10-30,3,5.0,0,Side dishes
Bacon baked in a paper bag with carrots and creamed onions,Tristan Welch,0-30,00-120,0,0.0,0,Main course
Bacon butty and brown sauce,Simon Rimmer,00-120,60-120,0,0.0,0,Recipe
Bacon chop with apple and parsnip hash,Dan Doherty,0-30,10-30,0,0.0,0,Brunch
Bacon chops with whole roasted broccoli and three-cheese sauce,Tom Kerridge,0-30,30-60,0,0.0,0,Main course
Bacon eggy bread,Emily Angle,0-30,0-10,2,5.0,0,Brunch
Bacon or crackling scones (pogácsa),The Hairy Bikers,00-120,30-60,2,5.0,0,Light meals and snacks
Bacon rarebit with apple chutney,James Martin,0-30,10-30,2,4.5,0,Light meals and snacks
Bacon waffles with poached eggs and hollandaise sauce,James Martin,0-30,30-60,2,5.0,0,Brunch
"Bacon, egg and cheese muffins",Hemsley + Hemsley,0-30,10-30,1,5.0,0,Cakes and baking
"Bacon, egg and spinach salad with roasted tomatoes",Sophie Wright,0-30,0-10,1,5.0,0,Main course
"Bacon, egg, tomato, fried bread and mushroom velouté ",Jason Atherton,0-30,60-120,0,0.0,0,Brunch
"Bacon, mozzarella, and mushroom pizza",Antony Worrall Thompson,0-30,10-30,0,0.0,0,Main course
Bagels,Rachel Allen,00-120,30-60,3,5.0,Vegetarian,Cakes and baking
Baguettes,Paul Hollywood,00-120,30-60,6,3.33,Vegetarian,Cakes and baking
Bake-in-a-bag fish,Mitch Tonks,0-30,10-30,4,4.75,0,Main course
Bake-in-the-bag monkfish with preserved lemon couscous,Allegra McEvedy,0-30,10-30,1,5.0,0,Main course
Baked Alaska,Mary Berry,0-30,00-120,4,5.0,Vegetarian,Desserts
Baked Alaska with creamy chocolate sauce,James Martin,0-30,10-30,1,5.0,Vegetarian,Desserts
Baked Alaska with hot chocolate sauce,Rachel Allen,30-60,30-60,11,3.0,Vegetarian,Desserts
Baked Alaska with passion fruit,James Martin,30-60,0-10,0,0.0,0,Desserts
Baked Alaska with sautéed apples,James Martin,0-30,30-60,0,0.0,Vegetarian,Desserts
Baked Asian fish parcels ,The Mistry Family,0-30,10-30,0,0.0,0,Starters and nibbles
Baked Bramley apple with spiced custard and apple granita,Sat Bains,00-120,30-60,0,0.0,Vegetarian,Desserts
Baked Chinese buns with dipping sauce,Matt Tebbutt,1-20,30-60,0,0.0,Vegetarian,Light meals and snacks
"Baked Cornish cod piperade, Cornish mussels and basil mayonnaise",Paul Ainsworth,1-20,10-30,14,5.0,0,Main course
Baked Roquefort with figs and balsamic onions,Simon Rimmer,0-30,60-120,0,0.0,Vegetarian,Starters and nibbles
Baked Vacherin Mont d'Or cheese with garlic bruschetta,Gino D'Acampo,0-30,10-30,2,3.0,Vegetarian,Recipe
Baked Welsh cake cheesecake,Derith Rhisiart,0-30,60-120,1,5.0,0,Desserts
"Baked Yorkshire rhubarb, financiers and crème pâtissière",Shauna Froydenlund,00-120,10-30,2,4.5,Vegetarian,Desserts
Baked aloo gobi with flatbreads,Anna Jones,0-30,60-120,28,4.57,Vegetarian,Main course
Baked apple Alaska,Gino D'Acampo,0-30,10-30,0,0.0,Vegetarian,Desserts
Baked apple with custard,Nick Nairn,0-30,10-30,0,0.0,Vegetarian,Desserts
Baked apple with raisins and custard,Tony Tobin,0-30,0-10,0,0.0,0,Desserts
Baked apples,Simon Rimmer,00-120,30-60,0,0.0,Vegetarian,Desserts
Baked apples with Calvados sauce,Raymond Blanc,0-30,10-30,2,4.5,Vegetarian,Desserts
Baked aubergine rolls filled with mozzarella,Gennaro Contaldo,30-60,10-30,4,4.75,Vegetarian,Main course
Baked aubergine with poached chicken,Matt Tebbutt,0-30,30-60,2,4.5,0,Main course
Baked avocado and mustard chicken,Brian Turner,0-30,10-30,0,0.0,0,Main course
